id_offre;date_publication;mois_publication;intitule_poste;secteur_activite;region;ville;type_contrat;niveau_experience;salaire_min_eur;salaire_max_eur;salaire_moyen_eur;teletravail;competence_1;competence_2;competence_3;competence_4;competence_5;delai_pourvoi_jours
OFR-2025000;2025-08-17;2025-08;ML Engineer;Conseil / ESN;Île-de-France;Saint-Denis;CDI;Confirmé (3-5 ans);55500;76500;66000;Hybride;Git/CI-CD;TensorFlow/PyTorch;Python;Docker;MLOps;25
OFR-2025001;2025-09-18;2025-09;Data Scientist;Secteur public;Nouvelle-Aquitaine;Bordeaux;CDI;Confirmé (3-5 ans);46000;63500;54750;Hybride;Power BI;Python;Machine Learning;Scikit-learn;;25
OFR-2025002;2026-01-10;2026-01;Chef de Projet Data/IA;Santé;Auvergne-Rhône-Alpes;Lyon;CDI;Senior (5+ ans);62500;93500;78000;Full remote;SQL;Gestion de projet;Agile/Scrum;KPI;Python;17
OFR-2025003;2025-08-21;2025-08;Data Engineer;Retail / E-commerce;Grand Est;Nancy;Alternance;Confirmé (3-5 ans);850;1119;984;Full remote;Docker;Spark;SQL;;;36
OFR-2025004;2025-11-03;2025-11;Data Scientist;Tech / Scale-up;Nouvelle-Aquitaine;Poitiers;CDI;Junior (0-2 ans);34500;46000;40250;Hybride;Deep Learning;Power BI;Python;Machine Learning;;22
OFR-2025005;2025-08-03;2025-08;Data Engineer;Retail / E-commerce;Île-de-France;Boulogne-Billancourt;CDD;Senior (5+ ans);71000;106000;88500;Hybride;Docker;SQL;Spark;;;25
OFR-2025006;2026-04-25;2026-04;BI Analyst / Développeur Power BI;Conseil / ESN;Occitanie;Montpellier;Alternance;Confirmé (3-5 ans);1270;1406;1338;Sur site;DAX;Excel;Power Query;SQL;;37
OFR-2025007;2026-02-02;2026-02;Data Scientist;Secteur public;Centre-Val de Loire;Tours;CDI;Confirmé (3-5 ans);43500;60500;52000;Sur site;Machine Learning;Deep Learning;Power BI;;;50
OFR-2025008;2026-04-01;2026-04;Data Analyst;Secteur public;Auvergne-Rhône-Alpes;Grenoble;CDI;Confirmé (3-5 ans);49000;67500;58250;Sur site;DAX;Power Query;SQL;;;60
OFR-2025009;2026-05-17;2026-05;Data Scientist;Énergie;Nouvelle-Aquitaine;Bordeaux;CDI;Confirmé (3-5 ans);46000;63500;54750;Full remote;Deep Learning;SQL;Pandas;Machine Learning;Power BI;31
OFR-2025010;2026-01-02;2026-01;BI Analyst / Développeur Power BI;Tech / Scale-up;Pays de la Loire;Nantes;CDI;Junior (0-2 ans);34000;45500;39750;Hybride;Power BI;KPI;Power Query;DAX;Excel;65
OFR-2025011;2026-05-07;2026-05;BI Analyst / Développeur Power BI;Télécoms;Île-de-France;Boulogne-Billancourt;Stage;Junior (0-2 ans);1300;1417;1358;Hybride;DAX;Excel;SQL;Power Query;Power BI;39
OFR-2025012;2025-08-02;2025-08;Chef de Projet Data/IA;Énergie;Normandie;Rouen;CDI;Confirmé (3-5 ans);44000;61000;52500;Hybride;Agile/Scrum;Python;KPI;Gestion de projet;;33
OFR-2025013;2025-10-30;2025-10;Data Analyst;Banque / Assurance;Occitanie;Toulouse;CDI;Confirmé (3-5 ans);47000;65000;56000;Hybride;SQL;Power Query;Excel;;;29
OFR-2025014;2026-01-27;2026-01;ML Engineer;Télécoms;Île-de-France;Boulogne-Billancourt;Alternance;Junior (0-2 ans);1280;1484;1382;Hybride;Python;Git/CI-CD;Cloud (AWS/Azure/GCP);;;41
OFR-2025015;2025-09-10;2025-09;BI Analyst / Développeur Power BI;Banque / Assurance;Île-de-France;Paris;CDI;Junior (0-2 ans);41500;55500;48500;Hybride;DAX;Excel;KPI;;;39
OFR-2025016;2025-08-17;2025-08;Data Analyst;Transport / Logistique;Pays de la Loire;Nantes;CDD;Senior (5+ ans);58000;87500;72750;Sur site;SQL;DAX;Tableau;;;60
OFR-2025017;2025-11-13;2025-11;BI Analyst / Développeur Power BI;Transport / Logistique;Île-de-France;Nanterre;CDI;Confirmé (3-5 ans);55500;76500;66000;Full remote;DAX;SQL;Power BI;;;62
OFR-2025018;2025-12-08;2025-12;AI Engineer;Tech / Scale-up;Île-de-France;Nanterre;CDI;Junior (0-2 ans);41500;55500;48500;Hybride;Hugging Face;RAG;Cloud (AWS/Azure/GCP);;;15
OFR-2025019;2025-10-29;2025-10;Data Analyst;Tech / Scale-up;Pays de la Loire;Le Mans;CDI;Confirmé (3-5 ans);45500;63000;54250;Sur site;SQL;Tableau;Power Query;;;37
OFR-2025020;2025-12-08;2025-12;Data Analyst;Télécoms;Bretagne;Rennes;Alternance;Confirmé (3-5 ans);1230;1498;1364;Sur site;Tableau;Power Query;Excel;DAX;SQL;27
OFR-2025021;2025-08-21;2025-08;Data Scientist;Transport / Logistique;Île-de-France;Saint-Denis;CDI;Confirmé (3-5 ans);55500;76500;66000;Full remote;Python;Scikit-learn;Pandas;;;16
OFR-2025022;2026-05-31;2026-05;Data Engineer;Retail / E-commerce;Pays de la Loire;Nantes;Stage;Senior (5+ ans);1180;1352;1266;Sur site;ETL;Airflow;Spark;;;45
OFR-2025023;2025-12-23;2025-12;Data Analyst;Industrie;Grand Est;Reims;Stage;Junior (0-2 ans);920;1047;984;Hybride;Tableau;Power BI;Excel;Power Query;Python;25
OFR-2025024;2025-12-18;2025-12;ML Engineer;Transport / Logistique;Grand Est;Nancy;CDI;Senior (5+ ans);57500;86500;72000;Hybride;Python;Cloud (AWS/Azure/GCP);Docker;;;61
OFR-2025025;2026-01-06;2026-01;Data Analyst;Transport / Logistique;Centre-Val de Loire;Tours;Alternance;Confirmé (3-5 ans);810;938;874;Hybride;DAX;Power BI;Tableau;;;49
OFR-2025026;2025-12-29;2025-12;Data Engineer;Énergie;Pays de la Loire;Nantes;CDI;Senior (5+ ans);58000;87500;72750;Sur site;Spark;Python;Cloud (AWS/Azure/GCP);;;61
OFR-2025027;2025-12-18;2025-12;Data Engineer;Conseil / ESN;Bretagne;Rennes;CDD;Senior (5+ ans);57500;86500;72000;Sur site;ETL;SQL;Python;;;62
OFR-2025028;2026-02-21;2026-02;Chef de Projet Data/IA;Conseil / ESN;Grand Est;Nancy;CDI;Senior (5+ ans);57500;86500;72000;Hybride;Agile/Scrum;Gestion de projet;KPI;;;34
OFR-2025029;2026-01-21;2026-01;Data Scientist;Conseil / ESN;PACA;Marseille;CDI;Junior (0-2 ans);35500;48000;41750;Sur site;SQL;Python;Power BI;Pandas;;55
OFR-2025030;2025-12-08;2025-12;Chef de Projet Data/IA;Industrie;Occitanie;Toulouse;Stage;Junior (0-2 ans);1390;1557;1474;Hybride;Gestion de projet;Python;Agile/Scrum;;;39
OFR-2025031;2025-08-05;2025-08;Data Engineer;Télécoms;Occitanie;Montpellier;CDI;Junior (0-2 ans);35000;47000;41000;Hybride;SQL;Airflow;Cloud (AWS/Azure/GCP);Python;;54
OFR-2025032;2026-01-11;2026-01;Chef de Projet Data/IA;Énergie;Nouvelle-Aquitaine;Bordeaux;CDI;Confirmé (3-5 ans);46000;63500;54750;Hybride;Agile/Scrum;SQL;Power BI;Gestion de projet;;55
OFR-2025033;2026-02-12;2026-02;AI Engineer;Santé;Île-de-France;Saint-Denis;CDI;Junior (0-2 ans);41500;55500;48500;Hybride;LLM;NLP;Hugging Face;LangChain;;55
OFR-2025034;2025-09-14;2025-09;Data Analyst;Tech / Scale-up;Pays de la Loire;Le Mans;Alternance;Junior (0-2 ans);1140;1263;1202;Sur site;DAX;Excel;Power BI;;;13
OFR-2025035;2025-11-02;2025-11;Data Analyst;Transport / Logistique;Centre-Val de Loire;Tours;CDI;Confirmé (3-5 ans);43500;60500;52000;Hybride;DAX;Power Query;Python;;;21
OFR-2025036;2025-09-01;2025-09;ML Engineer;Santé;Île-de-France;Paris;CDI;Senior (5+ ans);71000;106000;88500;Full remote;TensorFlow/PyTorch;Cloud (AWS/Azure/GCP);Python;Docker;Git/CI-CD;41
OFR-2025037;2026-03-01;2026-03;Data Analyst;Secteur public;Pays de la Loire;Le Mans;Alternance;Senior (5+ ans);1250;1506;1378;Sur site;Tableau;Python;Power Query;DAX;SQL;40
OFR-2025038;2025-12-11;2025-12;Data Scientist;Secteur public;Île-de-France;Saint-Denis;CDI;Junior (0-2 ans);41500;55500;48500;Hybride;Python;Deep Learning;SQL;Machine Learning;;46
OFR-2025039;2026-04-26;2026-04;Data Analyst;Tech / Scale-up;Île-de-France;Nanterre;Alternance;Junior (0-2 ans);1220;1404;1312;Hybride;Python;Power Query;SQL;Power BI;DAX;56
OFR-2025040;2025-11-17;2025-11;Data Analyst;Transport / Logistique;Bretagne;Brest;CDI;Junior (0-2 ans);33500;45000;39250;Hybride;Power Query;Python;Tableau;Power BI;;39
OFR-2025041;2025-09-08;2025-09;Data Engineer;Santé;Auvergne-Rhône-Alpes;Annecy;Alternance;Senior (5+ ans);930;1189;1060;Sur site;SQL;ETL;Airflow;Docker;Cloud (AWS/Azure/GCP);41
OFR-2025042;2026-04-03;2026-04;Data Analyst;Conseil / ESN;Île-de-France;Saint-Denis;CDI;Junior (0-2 ans);41500;55500;48500;Hybride;Excel;Python;Power Query;SQL;;15
OFR-2025043;2025-10-31;2025-10;Chef de Projet Data/IA;Industrie;Auvergne-Rhône-Alpes;Annecy;CDD;Confirmé (3-5 ans);49000;67500;58250;Sur site;Power BI;KPI;Gestion de projet;;;20
OFR-2025044;2025-07-14;2025-07;Data Engineer;Transport / Logistique;Île-de-France;Boulogne-Billancourt;Alternance;Senior (5+ ans);970;1225;1098;Hybride;Cloud (AWS/Azure/GCP);Docker;SQL;Python;ETL;31
OFR-2025045;2025-12-25;2025-12;Data Engineer;Santé;Bretagne;Brest;Stage;Junior (0-2 ans);1050;1176;1113;Sur site;Docker;Spark;Airflow;SQL;Cloud (AWS/Azure/GCP);46
OFR-2025046;2026-02-08;2026-02;Data Engineer;Retail / E-commerce;Auvergne-Rhône-Alpes;Annecy;CDI;Confirmé (3-5 ans);49000;67500;58250;Sur site;SQL;ETL;Spark;Cloud (AWS/Azure/GCP);;23
OFR-2025047;2025-11-03;2025-11;AI Engineer;Télécoms;Centre-Val de Loire;Orléans;CDD;Confirmé (3-5 ans);43500;60500;52000;Hybride;NLP;Cloud (AWS/Azure/GCP);Hugging Face;LangChain;;65
OFR-2025048;2025-12-29;2025-12;Chef de Projet Data/IA;Conseil / ESN;Île-de-France;Nanterre;Alternance;Confirmé (3-5 ans);1190;1376;1283;Hybride;Agile/Scrum;SQL;Power BI;;;63
OFR-2025049;2025-11-01;2025-11;Data Scientist;Secteur public;Île-de-France;Saint-Denis;CDI;Senior (5+ ans);71000;106000;88500;Hybride;Machine Learning;Deep Learning;Scikit-learn;;;56
OFR-2025050;2025-12-24;2025-12;Data Engineer;Banque / Assurance;Hauts-de-France;Amiens;CDI;Junior (0-2 ans);33000;44500;38750;Sur site;Python;Spark;Airflow;Cloud (AWS/Azure/GCP);Docker;39
OFR-2025051;2026-04-01;2026-04;Chef de Projet Data/IA;Transport / Logistique;Occitanie;Montpellier;CDI;Junior (0-2 ans);35000;47000;41000;Hybride;KPI;Power BI;SQL;;;60
OFR-2025052;2025-12-02;2025-12;ML Engineer;Énergie;Île-de-France;Nanterre;Alternance;Senior (5+ ans);1340;1592;1466;Hybride;Python;MLOps;Docker;Git/CI-CD;;12
OFR-2025053;2025-12-22;2025-12;ML Engineer;Banque / Assurance;Île-de-France;Paris;Alternance;Confirmé (3-5 ans);930;1193;1062;Hybride;Python;Git/CI-CD;Docker;MLOps;;23
OFR-2025054;2026-04-15;2026-04;Chef de Projet Data/IA;Industrie;Île-de-France;Nanterre;CDD;Confirmé (3-5 ans);55500;76500;66000;Hybride;Python;Gestion de projet;Power BI;;;31
OFR-2025055;2026-05-14;2026-05;Data Analyst;Télécoms;Île-de-France;Nanterre;Alternance;Confirmé (3-5 ans);1340;1537;1438;Hybride;Python;Excel;Tableau;Power Query;;15
OFR-2025056;2026-01-26;2026-01;Data Engineer;Conseil / ESN;PACA;Marseille;CDI;Junior (0-2 ans);35500;48000;41750;Hybride;Python;Airflow;SQL;;;40
OFR-2025057;2025-10-10;2025-10;ML Engineer;Conseil / ESN;Pays de la Loire;Nantes;CDI;Junior (0-2 ans);34000;45500;39750;Sur site;Python;MLOps;Docker;Cloud (AWS/Azure/GCP);;39
OFR-2025058;2026-04-18;2026-04;Data Analyst;Énergie;Île-de-France;Boulogne-Billancourt;CDD;Junior (0-2 ans);41500;55500;48500;Sur site;Power Query;Excel;Tableau;;;30
OFR-2025059;2026-05-06;2026-05;Data Engineer;Santé;Pays de la Loire;Angers;Stage;Confirmé (3-5 ans);1300;1512;1406;Sur site;Airflow;SQL;ETL;;;28
OFR-2025060;2026-03-09;2026-03;Data Analyst;Énergie;Île-de-France;Paris;Alternance;Senior (5+ ans);980;1200;1090;Hybride;DAX;Python;Excel;Power BI;Tableau;17
OFR-2025061;2025-11-07;2025-11;Data Engineer;Industrie;Auvergne-Rhône-Alpes;Grenoble;CDD;Junior (0-2 ans);36500;49000;42750;Hybride;ETL;Spark;Docker;SQL;Python;32
OFR-2025062;2026-05-17;2026-05;Data Analyst;Banque / Assurance;PACA;Aix-en-Provence;Alternance;Confirmé (3-5 ans);1220;1333;1276;Sur site;Tableau;Excel;Power Query;;;40
OFR-2025063;2025-09-20;2025-09;AI Engineer;Énergie;Île-de-France;Boulogne-Billancourt;CDI;Confirmé (3-5 ans);55500;76500;66000;Sur site;Python;RAG;Hugging Face;;;31
OFR-2025064;2025-11-27;2025-11;Data Engineer;Conseil / ESN;Occitanie;Toulouse;Freelance;Senior (5+ ans);60000;90000;75000;Full remote;SQL;Cloud (AWS/Azure/GCP);Python;ETL;;44
OFR-2025065;2026-01-29;2026-01;ML Engineer;Transport / Logistique;Auvergne-Rhône-Alpes;Grenoble;CDI;Confirmé (3-5 ans);49000;67500;58250;Hybride;MLOps;TensorFlow/PyTorch;Git/CI-CD;Python;;33
OFR-2025066;2026-04-05;2026-04;Chef de Projet Data/IA;Énergie;Pays de la Loire;Nantes;Alternance;Senior (5+ ans);1390;1658;1524;Hybride;Power BI;Agile/Scrum;Python;KPI;;36
OFR-2025067;2026-05-30;2026-05;Data Engineer;Conseil / ESN;Auvergne-Rhône-Alpes;Lyon;Alternance;Junior (0-2 ans);1220;1331;1276;Full remote;Cloud (AWS/Azure/GCP);ETL;Docker;Airflow;;21
OFR-2025068;2025-09-18;2025-09;Data Engineer;Industrie;Île-de-France;Saint-Denis;Stage;Confirmé (3-5 ans);1340;1556;1448;Full remote;Cloud (AWS/Azure/GCP);Python;ETL;;;16
OFR-2025069;2026-05-20;2026-05;Data Engineer;Télécoms;Centre-Val de Loire;Orléans;Alternance;Confirmé (3-5 ans);1140;1412;1276;Hybride;ETL;Spark;Docker;SQL;Cloud (AWS/Azure/GCP);55
OFR-2025070;2025-07-24;2025-07;Chef de Projet Data/IA;Santé;Centre-Val de Loire;Tours;Freelance;Senior (5+ ans);56000;83500;69750;Full remote;Gestion de projet;Agile/Scrum;Power BI;SQL;Python;32
OFR-2025071;2026-01-12;2026-01;AI Engineer;Santé;Île-de-France;Saint-Denis;CDI;Confirmé (3-5 ans);55500;76500;66000;Sur site;RAG;LLM;Cloud (AWS/Azure/GCP);Hugging Face;Python;51
OFR-2025072;2025-09-19;2025-09;ML Engineer;Tech / Scale-up;Pays de la Loire;Le Mans;CDI;Confirmé (3-5 ans);45500;63000;54250;Sur site;Docker;Python;Cloud (AWS/Azure/GCP);MLOps;;16
OFR-2025073;2026-04-19;2026-04;Data Engineer;Énergie;Auvergne-Rhône-Alpes;Annecy;Alternance;Confirmé (3-5 ans);1060;1276;1168;Hybride;Python;ETL;Cloud (AWS/Azure/GCP);SQL;;34
OFR-2025074;2025-11-24;2025-11;Data Engineer;Banque / Assurance;Centre-Val de Loire;Orléans;Freelance;Confirmé (3-5 ans);43500;60500;52000;Sur site;SQL;Airflow;Docker;ETL;;61
OFR-2025075;2026-02-11;2026-02;AI Engineer;Conseil / ESN;Nouvelle-Aquitaine;Poitiers;Alternance;Confirmé (3-5 ans);940;1200;1070;Hybride;RAG;Cloud (AWS/Azure/GCP);Python;;;14
OFR-2025076;2025-11-17;2025-11;Data Engineer;Énergie;PACA;Marseille;CDI;Confirmé (3-5 ans);48000;66500;57250;Hybride;Python;Airflow;Spark;;;65
OFR-2025077;2026-04-12;2026-04;Data Analyst;Énergie;Normandie;Caen;Alternance;Junior (0-2 ans);920;1139;1030;Full remote;Power BI;Power Query;Python;;;35
OFR-2025078;2025-08-25;2025-08;Data Analyst;Secteur public;Auvergne-Rhône-Alpes;Grenoble;CDI;Junior (0-2 ans);36500;49000;42750;Full remote;DAX;Excel;Tableau;Python;Power Query;55
OFR-2025079;2025-07-20;2025-07;Data Scientist;Télécoms;Île-de-France;Saint-Denis;CDI;Junior (0-2 ans);41500;55500;48500;Hybride;Deep Learning;SQL;Scikit-learn;Python;;31
OFR-2025080;2026-06-01;2026-06;Chef de Projet Data/IA;Secteur public;Île-de-France;Boulogne-Billancourt;CDI;Confirmé (3-5 ans);55500;76500;66000;Full remote;KPI;Python;Agile/Scrum;SQL;Gestion de projet;18
OFR-2025081;2025-10-06;2025-10;BI Analyst / Développeur Power BI;Banque / Assurance;Nouvelle-Aquitaine;Poitiers;Alternance;Junior (0-2 ans);1260;1420;1340;Hybride;Power BI;Power Query;KPI;Excel;;19
OFR-2025082;2026-04-10;2026-04;Chef de Projet Data/IA;Conseil / ESN;Grand Est;Strasbourg;Alternance;Confirmé (3-5 ans);820;932;876;Sur site;Power BI;KPI;Python;Gestion de projet;;25
OFR-2025083;2025-09-28;2025-09;Data Engineer;Retail / E-commerce;Grand Est;Strasbourg;CDD;Senior (5+ ans);57500;86500;72000;Hybride;SQL;Spark;Python;Airflow;Cloud (AWS/Azure/GCP);19
OFR-2025084;2026-02-01;2026-02;ML Engineer;Retail / E-commerce;Île-de-France;Paris;CDD;Junior (0-2 ans);41500;55500;48500;Hybride;Python;MLOps;Docker;Git/CI-CD;;45
OFR-2025085;2025-07-16;2025-07;Data Analyst;Retail / E-commerce;Île-de-France;Nanterre;CDI;Junior (0-2 ans);41500;55500;48500;Sur site;Power BI;Tableau;SQL;Excel;Power Query;15
OFR-2025086;2025-11-18;2025-11;Chef de Projet Data/IA;Industrie;Grand Est;Reims;CDI;Senior (5+ ans);57500;86500;72000;Hybride;Gestion de projet;SQL;Power BI;;;51
OFR-2025087;2025-08-28;2025-08;ML Engineer;Santé;Occitanie;Montpellier;Freelance;Confirmé (3-5 ans);47000;65000;56000;Sur site;TensorFlow/PyTorch;Git/CI-CD;Cloud (AWS/Azure/GCP);Python;;53
OFR-2025088;2025-12-08;2025-12;ML Engineer;Conseil / ESN;PACA;Aix-en-Provence;CDI;Senior (5+ ans);61000;92000;76500;Sur site;Docker;Cloud (AWS/Azure/GCP);TensorFlow/PyTorch;MLOps;;39
OFR-2025089;2026-04-11;2026-04;Data Scientist;Transport / Logistique;Île-de-France;Boulogne-Billancourt;CDI;Senior (5+ ans);71000;106000;88500;Sur site;Scikit-learn;Python;SQL;;;15
OFR-2025090;2025-12-28;2025-12;Data Engineer;Industrie;Occitanie;Montpellier;CDI;Senior (5+ ans);60000;90000;75000;Sur site;Docker;Cloud (AWS/Azure/GCP);SQL;Spark;;18
OFR-2025091;2026-05-15;2026-05;Data Engineer;Conseil / ESN;Île-de-France;Nanterre;CDD;Junior (0-2 ans);41500;55500;48500;Sur site;Spark;SQL;Docker;Python;ETL;51
OFR-2025092;2026-04-16;2026-04;ML Engineer;Banque / Assurance;Occitanie;Montpellier;CDI;Confirmé (3-5 ans);47000;65000;56000;Full remote;Docker;Git/CI-CD;Python;Cloud (AWS/Azure/GCP);;54
OFR-2025093;2026-04-17;2026-04;Data Scientist;Industrie;Île-de-France;Paris;Alternance;Junior (0-2 ans);1230;1446;1338;Sur site;Machine Learning;SQL;Deep Learning;Pandas;;50
OFR-2025094;2025-10-19;2025-10;Data Analyst;Télécoms;Île-de-France;Boulogne-Billancourt;CDI;Junior (0-2 ans);41500;55500;48500;Hybride;DAX;Python;Power Query;Tableau;;60
OFR-2025095;2025-12-02;2025-12;Data Engineer;Énergie;Auvergne-Rhône-Alpes;Lyon;Alternance;Confirmé (3-5 ans);1340;1610;1475;Hybride;SQL;Python;ETL;Docker;;25
OFR-2025096;2026-06-08;2026-06;AI Engineer;Retail / E-commerce;PACA;Nice;CDI;Confirmé (3-5 ans);48000;66500;57250;Hybride;LLM;Cloud (AWS/Azure/GCP);NLP;RAG;;63
OFR-2025097;2026-01-24;2026-01;Data Scientist;Banque / Assurance;Auvergne-Rhône-Alpes;Annecy;CDI;Confirmé (3-5 ans);49000;67500;58250;Hybride;Power BI;SQL;Pandas;;;57
OFR-2025098;2026-04-28;2026-04;ML Engineer;Banque / Assurance;Île-de-France;Nanterre;Freelance;Junior (0-2 ans);41500;55500;48500;Hybride;Cloud (AWS/Azure/GCP);Docker;Python;MLOps;Git/CI-CD;37
OFR-2025099;2025-10-08;2025-10;Data Engineer;Retail / E-commerce;Auvergne-Rhône-Alpes;Grenoble;CDI;Senior (5+ ans);62500;93500;78000;Hybride;Airflow;Cloud (AWS/Azure/GCP);SQL;;;61
OFR-2025100;2026-06-01;2026-06;Data Scientist;Tech / Scale-up;PACA;Aix-en-Provence;CDI;Junior (0-2 ans);35500;48000;41750;Sur site;Machine Learning;Pandas;Power BI;;;16
OFR-2025101;2026-02-11;2026-02;Data Analyst;Transport / Logistique;PACA;Nice;Alternance;Confirmé (3-5 ans);1260;1534;1397;Hybride;DAX;Power Query;Tableau;Excel;Python;16
OFR-2025102;2025-11-24;2025-11;Data Engineer;Télécoms;Nouvelle-Aquitaine;Poitiers;CDI;Confirmé (3-5 ans);46000;63500;54750;Hybride;ETL;Docker;SQL;Airflow;;16
OFR-2025103;2025-08-01;2025-08;ML Engineer;Télécoms;Centre-Val de Loire;Tours;Alternance;Confirmé (3-5 ans);1390;1631;1510;Hybride;Python;Cloud (AWS/Azure/GCP);MLOps;TensorFlow/PyTorch;Docker;40
OFR-2025104;2026-05-09;2026-05;Data Analyst;Industrie;Bretagne;Brest;CDI;Junior (0-2 ans);33500;45000;39250;Hybride;DAX;Python;Power Query;;;22
OFR-2025105;2025-08-18;2025-08;Data Scientist;Santé;Normandie;Caen;CDD;Confirmé (3-5 ans);44000;61000;52500;Hybride;Power BI;Deep Learning;SQL;;;47
OFR-2025106;2025-08-13;2025-08;ML Engineer;Retail / E-commerce;Île-de-France;Boulogne-Billancourt;CDI;Confirmé (3-5 ans);55500;76500;66000;Sur site;Docker;Cloud (AWS/Azure/GCP);MLOps;Git/CI-CD;;31
OFR-2025107;2025-10-01;2025-10;Data Engineer;Tech / Scale-up;Nouvelle-Aquitaine;Poitiers;Alternance;Senior (5+ ans);1340;1463;1402;Hybride;Cloud (AWS/Azure/GCP);ETL;Airflow;Spark;SQL;25
OFR-2025108;2026-05-13;2026-05;Data Scientist;Conseil / ESN;PACA;Marseille;Freelance;Junior (0-2 ans);35500;48000;41750;Sur site;Power BI;Python;Pandas;Deep Learning;;20
OFR-2025109;2026-05-09;2026-05;Data Engineer;Télécoms;Île-de-France;Boulogne-Billancourt;CDD;Junior (0-2 ans);41500;55500;48500;Full remote;SQL;ETL;Spark;Python;;30
OFR-2025110;2025-11-22;2025-11;AI Engineer;Secteur public;PACA;Marseille;CDI;Senior (5+ ans);61000;92000;76500;Hybride;Cloud (AWS/Azure/GCP);LLM;LangChain;NLP;;61
OFR-2025111;2025-08-22;2025-08;Data Scientist;Conseil / ESN;Occitanie;Toulouse;CDD;Junior (0-2 ans);35000;47000;41000;Sur site;Python;Deep Learning;Scikit-learn;SQL;;57
OFR-2025112;2026-01-29;2026-01;BI Analyst / Développeur Power BI;Industrie;Grand Est;Reims;Alternance;Junior (0-2 ans);1320;1457;1388;Full remote;Power BI;DAX;SQL;KPI;;15
OFR-2025113;2025-09-09;2025-09;Data Scientist;Industrie;Auvergne-Rhône-Alpes;Grenoble;CDI;Junior (0-2 ans);36500;49000;42750;Sur site;Power BI;Deep Learning;SQL;;;14
OFR-2025114;2026-05-08;2026-05;Data Scientist;Tech / Scale-up;Grand Est;Nancy;Alternance;Confirmé (3-5 ans);800;920;860;Hybride;SQL;Machine Learning;Deep Learning;;;45
OFR-2025115;2026-03-13;2026-03;Data Engineer;Énergie;PACA;Marseille;CDI;Junior (0-2 ans);35500;48000;41750;Sur site;Docker;Airflow;ETL;SQL;Cloud (AWS/Azure/GCP);50
OFR-2025116;2025-08-13;2025-08;Data Engineer;Tech / Scale-up;Nouvelle-Aquitaine;Bordeaux;CDI;Junior (0-2 ans);34500;46000;40250;Sur site;Python;Airflow;ETL;Docker;;45
OFR-2025117;2026-06-02;2026-06;Chef de Projet Data/IA;Santé;Île-de-France;Paris;Stage;Junior (0-2 ans);1200;1395;1298;Hybride;KPI;Gestion de projet;SQL;Python;;52
OFR-2025118;2025-09-08;2025-09;Data Analyst;Tech / Scale-up;Occitanie;Montpellier;CDI;Confirmé (3-5 ans);47000;65000;56000;Hybride;Power BI;DAX;Python;Tableau;Excel;16
